land-and-fernald-1992
chan-2010
mackenzie-2003
nebelsick-1992
bone-and-james-1993
yamano-et-al-2000
cubo-2000
wilkinson-et-al-2003
wilkinson-et-al-2011
nussbaum-1985
von-konrat-et-al-2008
suschenko-and-purschke-2008
hughes-1970
koppetsch-et-al-2019
picciani-et-al-2018
syme-and-oakley-2012
beckers-et-al-2019
vodopyanov-and-purschke-2017
warrant-et-al-2003
nilsson-1983
land-1980
webb-2019
kazilas-et-al-2018
roscito-and-rodrigues-2012
daniels-et-al-2002
vidal-et-al-2010
nev-1979
salvini-plawen-and-mayr-1977
higgins-1960
mayer-2006
greven-2007
elofsson-1966
queiros-et-al-2013
burr-1984
morehouse-et-al-2017
sumner-rooney-et-al-2020
ullrich-l,oter-et-al-2011
garm-and-nilsson-2014
morton-2000
nilsson-2013
mclay-2007
tsurnamal-2008
bruce-1988
sorensen-et-al-2008
tshudy-et-al-2009
danielopol-1990
kornicker-1991
parker-1995
yager-1981
elofsson-and-hessler-1990
von-reumont-et-al-2014
maddison-et-al-2019
bullock-et-al-1983
hunt-2007
emig-1985
renous-et-al-2007
moore-and-gibson-1985
moore-and-gibson-1981
sundberg-and-gibson-2007
norenburg-1985
coe-1927
hessler-1981
yen-2012
buskey-et-al-2012
lauga-2006
fuchs-et-al-2010
baumiller-and-messing-2007
clark-2019
grabowsky-1994
spain-2002
clark-and-hermans-1976
smith-1937
burr-and-robinson-2004
kristan-2019
jordan-1992
kolasa-and-tyler-2010
littlewood-and-bray-2000
strayer-et-al-2010
poinar-2010
gans-1975
fish-2000
wyneken-1996
gatesy-middleton-1997
habib-2010
johnsgard-1962
garland-and-losos-1994
shen-et-al-2010
suzuki-et-al-2010
snyder-1952
schaefer-and-summers-2005
lindsey-1978
hove-et-al-2001
webb-1984
lovegrove-2004
hatt-1932
alexander-2004
biewener-1989
lovegrove-and-haines-2004
halanych-1996
ashley-ross-1994
sprent-2008
santi-et-al-2013
bond-1983
stal-2009
rockwell-et-al-2014
madigan-and-jung-2008
woodward-et-al-2016
stanier-and-cohen-bazire-1977
cameron-et-al-2000
kubitzki-et-al
pettibone-1982
altman-1965
strand-and-sundberg-2015
schmidt-rhaesa-2012
boyle-and-rice-2018
littlewood-et-al-1998
kanneby-2016
marshall-and-valentine-2010
ma-et-al-2010
brusca-et-al-2016
elofsson-1965
panganiban-et-al-1997
edmondst-2000
alava-and-aguirre-2005
necchi-2016
yoon-et-al-2006
lavrov-et-al-2004
robin-et-al-2018
govindarajan-et-al-2011
shenkar-et-al-2011
hageman-2003
hotchkiss-2000
cartwright-2003
ryland-1997
mcfadden-et-al-2010
francis-1979
genikhovich-and-technau-2017
schilthuizen-and-davison-2005
grabowsky-1994b
smirnov-2014
paul-and-smith--1984
namigai-et-al-2014
starko-2019
lewis-and-taylor-1965
wcislo-et-al-2004
steinbauer-and-weir-2007
saunders-2002
owens-and-lewis-2018
mcdermott-1964
kawahara-et-al-2019
gwynne-2001
gilbert-1985
fornoff-et-al-2012
marine-ecology-literature
desutter-grandcolas-1995
choe-and-crespi-1997
borges-et-al-2016
ankel-simons-2008
schmitz-and-motani-2011
le-duc-et-al-2015
iwaniuk-et-al-2020
hunt-et-al-2009
gamble-et-al-2015
fabre-et-al-2016
mineralogy
delwiche-and-cooper-2015
rintoul-et-al-1999
dittami-et-al-2017
bringloe-et-al-2020
rogers-et-al-1980
du-et-al-2016
christensen-et-al-2015
dooling-et-al-2000
hu-et-al-2009
yager-1999
dunn-et-al-2015
triblehorn-and-yager-2001
budelmann-1992
christensen-christensen-dalsgaard-and-madsen-2015
ladich-and-popper-2004
wever-1975
womack-et-al-2017
boistel-et-al-2013
lindquist-et-al-1998
hetherington-and-lindquist-1999
pereyra-et-al-2016
chia-1966
vater-et-al-2004
young-1997
eick-et-al-2005
price-et-al-2005
geisler-et-al-2014
lapshin-and-vorontsov-2009
bok-et-al-2016
zieger-and-meyer-rochow-2008
moseley-1885
bitsch-2005
berking-2007
