taxonId,taxonName,people,scholiaURL
http://www.wikidata.org/entity/Q14891733,Scarabaeus spretus,Steven L. Chown,https://scholia.toolforge.org/organization/Q112326635/topic/Q14891733
http://www.wikidata.org/entity/Q21216282,Scelianoma,Jennifer C. Girón,https://scholia.toolforge.org/organization/Q112326635/topic/Q21216282
http://www.wikidata.org/entity/Q51069505,Scelianoma elydimorpha,Jennifer C. Girón,https://scholia.toolforge.org/organization/Q112326635/topic/Q51069505
http://www.wikidata.org/entity/Q281634,Schistocerca gregaria,Steven L. Chown,https://scholia.toolforge.org/organization/Q112326635/topic/Q281634
http://www.wikidata.org/entity/Q2324689,Schistosoma mansoni,Sadie J. Ryan,https://scholia.toolforge.org/organization/Q112326635/topic/Q2324689
http://www.wikidata.org/entity/Q195605,Scleractinia,Joshua S Madin,https://scholia.toolforge.org/organization/Q112326635/topic/Q195605
http://www.wikidata.org/entity/Q7435578,Scotia,Heloise Gibb,https://scholia.toolforge.org/organization/Q112326635/topic/Q7435578
http://www.wikidata.org/entity/Q939756,Senecio inaequidens,Caterina Penone,https://scholia.toolforge.org/organization/Q112326635/topic/Q939756
http://www.wikidata.org/entity/Q150129,Sequoia sempervirens,Alana R O Chin,https://scholia.toolforge.org/organization/Q112326635/topic/Q150129
http://www.wikidata.org/entity/Q82069695,Severe acute respiratory syndrome coronavirus 2,Daniel Mietchen | Ramona L Walls | Richard J Telford,https://scholia.toolforge.org/organization/Q112326635/topic/Q82069695
http://www.wikidata.org/entity/Q1044376,Solanum carolinense,Ramona L Walls,https://scholia.toolforge.org/organization/Q112326635/topic/Q1044376
http://www.wikidata.org/entity/Q2700140,Sparisoma viride,Nuno Simões,https://scholia.toolforge.org/organization/Q112326635/topic/Q2700140
http://www.wikidata.org/entity/Q25814,Spermatophytina,Brian J. Enquist | Franziska Schrodt | Ian J. Wright | Katelin D. Pearson | Mark Westoby | Ramona L Walls,https://scholia.toolforge.org/organization/Q112326635/topic/Q25814
http://www.wikidata.org/entity/Q122422,Squamata,Ian G. Brennan | Renee A. Catullo,https://scholia.toolforge.org/organization/Q112326635/topic/Q122422
http://www.wikidata.org/entity/Q166898,Suidae,Silvia Pineda-Munoz,https://scholia.toolforge.org/organization/Q112326635/topic/Q166898
http://www.wikidata.org/entity/Q774716,Sylvilagus floridanus,Sadie J. Ryan,https://scholia.toolforge.org/organization/Q112326635/topic/Q774716
http://www.wikidata.org/entity/Q404566,Sylvilagus transitionalis,Sadie J. Ryan,https://scholia.toolforge.org/organization/Q112326635/topic/Q404566
http://www.wikidata.org/entity/Q160042,Syncerus caffer,Sadie J. Ryan,https://scholia.toolforge.org/organization/Q112326635/topic/Q160042
http://www.wikidata.org/entity/Q339483,Syrmaticus reevesii,Xiao Feng,https://scholia.toolforge.org/organization/Q112326635/topic/Q339483
http://www.wikidata.org/entity/Q217905,Syrphidae,Ignasi Bartomeus,https://scholia.toolforge.org/organization/Q112326635/topic/Q217905
http://www.wikidata.org/entity/Q14589090,Teleopsis dalmanni,Joseph A Tobias,https://scholia.toolforge.org/organization/Q112326635/topic/Q14589090
