date,event,eventLabel,person,personLabel,eventUrl,roles,locations
2019-01-18,http://www.wikidata.org/entity/Q59426297,Workshop on Data Quality Management in Wikidata,http://www.wikidata.org/entity/Q20895785,Daniel Mietchen,https://scholia.toolforge.org/event/Q59426297,speaker,Tempelhofer Ufer 23–24
2018-11-27,http://www.wikidata.org/entity/Q55117737,WikiCite 2018,http://www.wikidata.org/entity/Q20895785,Daniel Mietchen,https://scholia.toolforge.org/event/Q55117737,speaker | organizer,David Brower Center
2018-10-11,http://www.wikidata.org/entity/Q56579271,FORCE2018,http://www.wikidata.org/entity/Q20895785,Daniel Mietchen,https://scholia.toolforge.org/event/Q56579271,speaker,McGill University
2018-09-24,http://www.wikidata.org/entity/Q50706744,10th International Conference on Ecological Informatics,http://www.wikidata.org/entity/Q20895785,Daniel Mietchen,https://scholia.toolforge.org/event/Q50706744,participant,University of Jena
2018-09-24,http://www.wikidata.org/entity/Q50706744,10th International Conference on Ecological Informatics,http://www.wikidata.org/entity/Q56556463,Jens Kattge,https://scholia.toolforge.org/event/Q50706744,participant,University of Jena
2018-09-03,http://www.wikidata.org/entity/Q51955163,Workshop on Open Citations,http://www.wikidata.org/entity/Q20895785,Daniel Mietchen,https://scholia.toolforge.org/event/Q51955163,speaker,University of Bologna
2018-07-01,http://www.wikidata.org/entity/Q28914449,Wikimania 2018,http://www.wikidata.org/entity/Q20895785,Daniel Mietchen,https://scholia.toolforge.org/event/Q28914449,participant,Cape Town
2018-06-03,http://www.wikidata.org/entity/Q54496448,3rd International Workshop on Geospatial Linked Data,http://www.wikidata.org/entity/Q20895785,Daniel Mietchen,https://scholia.toolforge.org/event/Q54496448,author,Aldemar Knossos Royal
2018-05-27,http://www.wikidata.org/entity/Q47501229,11th International Conference on Chemical Structures,http://www.wikidata.org/entity/Q20895785,Daniel Mietchen,https://scholia.toolforge.org/event/Q47501229,author,Noordwijkerhout
2018-01-23,http://www.wikidata.org/entity/Q47486859,PIDapalooza 2018,http://www.wikidata.org/entity/Q20895785,Daniel Mietchen,https://scholia.toolforge.org/event/Q47486859,participant,Palau de Congressos de Girona
2018-01-23,http://www.wikidata.org/entity/Q47486859,PIDapalooza 2018,http://www.wikidata.org/entity/Q28368079,Melissa Haendel,https://scholia.toolforge.org/event/Q47486859,participant,Palau de Congressos de Girona
2017-12-04,http://www.wikidata.org/entity/Q56235977,10th International SWAT4HCLS conference,http://www.wikidata.org/entity/Q20895785,Daniel Mietchen,https://scholia.toolforge.org/event/Q56235977,participant,Rome
2017-10-28,http://www.wikidata.org/entity/Q37807682,WikidataCon 2017,http://www.wikidata.org/entity/Q20895785,Daniel Mietchen,https://scholia.toolforge.org/event/Q37807682,speaker,Tagesspiegel building
2017-05-28,http://www.wikidata.org/entity/Q30090453,ESWC 2017,http://www.wikidata.org/entity/Q20895785,Daniel Mietchen,https://scholia.toolforge.org/event/Q30090453,author,Portorož
2017-05-28,http://www.wikidata.org/entity/Q113625218,1st International Workshop on Scientometrics,http://www.wikidata.org/entity/Q20895785,Daniel Mietchen,https://scholia.toolforge.org/event/Q113625218,author,Portorož
2017-05-28,http://www.wikidata.org/entity/Q113744888,1st International Workshop on Enabling Decentralised Scholarly Communication,http://www.wikidata.org/entity/Q20895785,Daniel Mietchen,https://scholia.toolforge.org/event/Q113744888,author,Portorož
2017-01-01,http://www.wikidata.org/entity/Q21113296,Wikimania 2017,http://www.wikidata.org/entity/Q20895785,Daniel Mietchen,https://scholia.toolforge.org/event/Q21113296,participant,Montreal
2017-01-01,http://www.wikidata.org/entity/Q54856362,WikiCite 2017,http://www.wikidata.org/entity/Q20895785,Daniel Mietchen,https://scholia.toolforge.org/event/Q54856362,organizer | participant,Vienna
2016-10-13,http://www.wikidata.org/entity/Q68046760,DC-2016,http://www.wikidata.org/entity/Q63240627,Ramona L Walls,https://scholia.toolforge.org/event/Q68046760,author,Copenhagen
2016-01-01,http://www.wikidata.org/entity/Q54856471,WikiCite 2016,http://www.wikidata.org/entity/Q20895785,Daniel Mietchen,https://scholia.toolforge.org/event/Q54856471,organizer,
2015-12-07,http://www.wikidata.org/entity/Q56872346,8th International SWAT4LS conference,http://www.wikidata.org/entity/Q28368079,Melissa Haendel,https://scholia.toolforge.org/event/Q56872346,speaker,Hinxton | Clare College
2015-09-02,http://www.wikidata.org/entity/Q114247349,Wikipedia Science Conference,http://www.wikidata.org/entity/Q20895785,Daniel Mietchen,https://scholia.toolforge.org/event/Q114247349,participant,Wellcome Collection
2013-08-26,http://www.wikidata.org/entity/Q113493870,1st Workshop on Trait-based approaches to Ocean Life,http://www.wikidata.org/entity/Q41566708,Jennifer A Hammock,https://scholia.toolforge.org/event/Q113493870,participant,Royal Danish Academy of Sciences and Letters
2013-08-26,http://www.wikidata.org/entity/Q113493870,1st Workshop on Trait-based approaches to Ocean Life,http://www.wikidata.org/entity/Q43121038,Mark Westoby,https://scholia.toolforge.org/event/Q113493870,participant,Royal Danish Academy of Sciences and Letters
2013-08-26,http://www.wikidata.org/entity/Q113493870,1st Workshop on Trait-based approaches to Ocean Life,http://www.wikidata.org/entity/Q56755459,Daniel Falster,https://scholia.toolforge.org/event/Q113493870,participant,Royal Danish Academy of Sciences and Letters
2013-01-01,http://www.wikidata.org/entity/Q13375018,Wikimania 2013,http://www.wikidata.org/entity/Q20895785,Daniel Mietchen,https://scholia.toolforge.org/event/Q13375018,participant,Hong Kong Polytechnic University
2012-12-13,http://www.wikidata.org/entity/Q113495124,EMODnet Biology Species attributes workshop 2012,http://www.wikidata.org/entity/Q85683771,Stefanie Dekeyzer,https://scholia.toolforge.org/event/Q113495124,participant,Ostend
2011-12-02,http://www.wikidata.org/entity/Q53133680,GLAMcamp Amsterdam,http://www.wikidata.org/entity/Q20895785,Daniel Mietchen,https://scholia.toolforge.org/event/Q53133680,participant,Mediamatic
,http://www.wikidata.org/entity/Q114647284,Wikidata WikiProject COVID-19,http://www.wikidata.org/entity/Q20895785,Daniel Mietchen,https://scholia.toolforge.org/event/Q114647284,participant,
,http://www.wikidata.org/entity/Q121815795,WikiProject Research expeditions,http://www.wikidata.org/entity/Q20895785,Daniel Mietchen,https://scholia.toolforge.org/event/Q121815795,participant,
